"funct_category","funct_process","funct_trait","n"
"Antibiotic resistance","Alginate biosynthesis","algA",1
"Antibiotic resistance","Beta-lactamases","bla",526
"Antibiotic resistance","Lipid biosynthesis","lpxD",1
"Antibiotic resistance","Multidrug Resistance","EmrB_QacA",4
"Antibiotic resistance","Tetracycline resistance","Tet",254
"Antibiotic resistance","Transporter","ABC_Ab_trp",103
"Antibiotic resistance","Transporter","hlyD",532
"Antibiotic resistance","Transporter","mexB",93
"Antibiotic resistance","Transporter","norM",168
"Antibiotic resistance","Transporter","SMRP",1017
"Antibiotic resistance","Vancomycin resistance","Van",22
"Antibiotic resistance",NA,"ATP_bdg_prot_res",7
"Bioleaching","Aminobenzoate degradation","acpA",4
"Bioleaching","Arsenical resistance ","arsM",50
"Bioleaching","Cytochrome","resA",10
"Bioleaching","Electron transport","coxA",3
"Bioleaching","Electron transport","fdx",27
"Bioleaching","Electron transport","fdx_2Fe2S",4
"Bioleaching","Electron transport","korA",70
"Bioleaching","Iron Fe","qcrA",23
"Bioleaching","Iron oxidation","Ferrochelatase",3
"Bioleaching","Iron uptake","SufC",3
"Bioleaching","Others","ABC_I",23
"Bioleaching","Others","ABC_II",13
"Bioleaching","Others","ABC_III",7
"Bioleaching","Others","ABC_IV",7
"Bioleaching","Sulphur","soxE",11
"Carbon cycling","Aromatic hydrocarbons catabolism ","vanA",252
"Carbon cycling","Aromatic hydrocarbons catabolism ","vdh",51
"Carbon cycling","Carbohydrate degradation","Beta glucosidase",238
"Carbon cycling","Carbohydrate degradation","CDH",59
"Carbon cycling","Carbohydrate degradation","glx",104
"Carbon cycling","Carbohydrate degradation","nplT",241
"Carbon cycling","Carbohydrate metabolism","AceA",485
"Carbon cycling","Carbohydrate metabolism","AceB",648
"Carbon cycling","Carbohydrate metabolism","amyA",995
"Carbon cycling","Carbohydrate metabolism","amyS",271
"Carbon cycling","Carbohydrate metabolism","amyX",12
"Carbon cycling","Carbohydrate metabolism","fruK",1
"Carbon cycling","Carbohydrate metabolism","galU",1
"Carbon cycling","Carbohydrate metabolism","gmhA",5
"Carbon cycling","Carbohydrate metabolism","hldD",3
"Carbon cycling","Carbohydrate metabolism","Ndedfp",8
"Carbon cycling","Carbohydrate metabolism","pflB",236
"Carbon cycling","Carbohydrate metabolism","pgk",5
"Carbon cycling","Carbohydrate metabolism","pulA",224
"Carbon cycling","Carbohydrate metabolism","pyc",1
"Carbon cycling","Carbohydrate metabolism","rfa",6
"Carbon cycling","Carbohydrate metabolism","sucC",127
"Carbon cycling","Carbohydrate metabolism","tpiA",5
"Carbon cycling","Carbohydrate metabolism","xylA",296
"Carbon cycling","Carbon degradation","camC",3
"Carbon cycling","Carbon degradation","camD",1
"Carbon cycling","Carbon degradation","lacc",512
"Carbon cycling","Carbon fixation","CbbS",383
"Carbon cycling","Carbon fixation","CODH",247
"Carbon cycling","Carbon fixation","fdhD",2
"Carbon cycling","Carbon fixation","fhs",123
"Carbon cycling","Carbon fixation","gpdA",8
"Carbon cycling","Carbon fixation","hycC",11
"Carbon cycling","Carbon fixation","pcc",721
"Carbon cycling","Glycan biosynthesis","cga",130
"Carbon cycling","Glycan degradation","abfB",455
"Carbon cycling","Glycan degradation","abfB_fungi",125
"Carbon cycling","Glycan degradation","apu",10
"Carbon cycling","Glycan degradation","cbh",204
"Carbon cycling","Glycan degradation","Endochitinase",719
"Carbon cycling","Glycan degradation","Endoglucanase",155
"Carbon cycling","Glycan degradation","Exochitinase",78
"Carbon cycling","Glycan degradation","manA",157
"Carbon cycling","Glycan degradation","xlnB",184
"Carbon cycling","Hydrocarbons degradation","assA",22
"Carbon cycling","Hydrocarbons degradation","limA",36
"Carbon cycling","Hydrocarbons degradation","limB",8
"Carbon cycling","Lignin degradation","mnp",70
"Carbon cycling","Methane","rus",2
"Carbon cycling","Methane oxidation","mmoX",32
"Carbon cycling","Methane oxidation","pmoA",191
"Carbon cycling","Methanogenesis","mcrA",255
"Carbon cycling","Pectin degradation","pelA",58
"Carbon cycling","Peptidoglycan biosynthesis","dexA",7
"Carbon cycling","Peptidoglycan degradation","lytD",439
"Energy process","Cytochrome","cyt552",2
"Energy process","Cytochrome","Cytochrome b",25
"Energy process","Cytochrome","Cytochrome c",603
"Energy process","Cytochrome","Cytochrome c3",3
"Energy process","Electron transport","cyc4",1
"Energy process","Electron transport","doxB",6
"Energy process","Electron transport","NADH_UO",24
"Energy process","Electron transport","nqo",16
"Energy process","Electron transport","qox",14
"Energy process","Electron transport","trxA",31
"Energy process","Hydrogenase","DpiB",115
"Energy process","Hydrogenase","hupC",54
"Energy process","P450","p450",34
"Energy process",NA,"atpB",13
"Energy process",NA,"atpD",6
"Energy process",NA,"nnr",1
"Metal Resistance","Aluminum","ALR1",138
"Metal Resistance","Arsenic","aioA",94
"Metal Resistance","Arsenical resistance ","arsA",47
"Metal Resistance","Arsenical resistance ","arsB",82
"Metal Resistance","Arsenical resistance ","arsC",537
"Metal Resistance","Arsenical resistance ","arsR",6
"Metal Resistance","Cadmium","CadA",481
"Metal Resistance","Cadmium","cadBD",76
"Metal Resistance","Cadmium","hmt",4
"Metal Resistance","Cadmium Cobalt Zinc resistance","czcA",674
"Metal Resistance","Cadmium Cobalt Zinc resistance","czcC",36
"Metal Resistance","Cadmium Cobalt Zinc resistance","czcD",549
"Metal Resistance","Chromium","ChrA",965
"Metal Resistance","Cobalt","CorC",61
"Metal Resistance","Cobalt and Nickel","cnrA",4
"Metal Resistance","Cobalt and Nickel","cnrC",5
"Metal Resistance","Cobalt and Nickel","rcnA",4
"Metal Resistance","Copper","CopA",1378
"Metal Resistance","Copper","copC",6
"Metal Resistance","Copper","CueO",28
"Metal Resistance","Copper","CusA",34
"Metal Resistance","Copper","CusC",3
"Metal Resistance","Copper","CusF",13
"Metal Resistance","Copper","sod",6
"Metal Resistance","Lead","pbrA",41
"Metal Resistance","Lead","pbrD",1
"Metal Resistance","Lead","pbrT",12
"Metal Resistance","Mercury","mer",490
"Metal Resistance","Mercury","merB",31
"Metal Resistance","Mercury","merC",17
"Metal Resistance","Mercury","merF",1
"Metal Resistance","Mercury","merP",66
"Metal Resistance","Mercury","merR",7
"Metal Resistance","Mercury","merT",12
"Metal Resistance","Miscellaneous","SmtA",30
"Metal Resistance","Nickel","nreB",36
"Metal Resistance","Selenium","serA",4
"Metal Resistance","Silver","silA",45
"Metal Resistance","Silver","silC",268
"Metal Resistance","Silver","silE",2
"Metal Resistance","Silver","silP",37
"Metal Resistance","Tellurium","TehB",250
"Metal Resistance","Tellurium","TerC",381
"Metal Resistance","Tellurium","TerD",309
"Metal Resistance","Tellurium","TerZ",154
"Metal Resistance","Zinc","ZitB",53
"Metal Resistance","Zinc","ZntA",463
"Metal Resistance",NA,"czrA",1
"Metal Resistance",NA,"merG",22
"Nitrogen","Ammonia assimilation","gdh",132
"Nitrogen","Ammonification","ureC",615
"Nitrogen","Anammox","hzo",31
"Nitrogen","Assimilatory N reduction","napA",271
"Nitrogen","Assimilatory N reduction","nasA",153
"Nitrogen","Assimilatory N reduction","nirA",126
"Nitrogen","Denitrification","narG",852
"Nitrogen","Denitrification","nirS",518
"Nitrogen","Denitrification","norB",82
"Nitrogen","Denitrification","nosZ",281
"Nitrogen","Dissimilatory N reduction","nrfA",306
"Nitrogen","Nitrate assimilation","narH",138
"Nitrogen","Nitrate assimilation","narI",275
"Nitrogen","Nitrate assimilation","narJ",83
"Nitrogen","Nitrate assimilation","nirB",71
"Nitrogen","Nitrate assimilation","nirK",435
"Nitrogen","Nitrification","amoA",1183
"Nitrogen","Nitrification","hao",39
"Nitrogen","Nitrogen fixation","glnA",1253
"Nitrogen","Nitrogen fixation","nif",2
"Nitrogen","Nitrogen fixation","nifH",1213
"Nitrogen","Nitrogen fixation","nifK",3
"Nitrogen","Nitrogen fixation","nifU",8
"Organic Remediation","Alcohol metabolism","cpnA",11
"Organic Remediation","Alcohol metabolism","cpnB",5
"Organic Remediation","Aromatic amino-acid degradation","mauAB",70
"Organic Remediation","Aromatic compound","tdnB",3
"Organic Remediation","Aromatic compound","tomA",8
"Organic Remediation","Aromatic compound degradation","akbF",80
"Organic Remediation","Aromatic compound degradation","antA",32
"Organic Remediation","Aromatic compound degradation","arhA",14
"Organic Remediation","Aromatic compound degradation","Arylesterase",310
"Organic Remediation","Aromatic compound degradation","athL",2
