"","pairs","F.Model","R2","p.value","p.adjusted","sig"
"1","Q1 vs Q2",1.20857425629399,0.0629184779759479,0.301,0.356447368421053,""
"2","Q1 vs Q3",1.68803632507454,0.0857391919236082,0.142,0.206129032258065,""
"3","Q1 vs Q4",3.36580495978041,0.15753232635589,0.017,0.0294230769230769,"."
"4","Q1 vs Q5",4.31426887251629,0.193341260570272,0.002,0.00409090909090909,"*"
"5","Q1 vs Q6",5.68245016296841,0.239943507697269,0.001,0.00225,"*"
"6","Q1 vs Q7",7.18282666155534,0.285227181129782,0.001,0.00225,"*"
"7","Q1 vs Q8",6.69279310421185,0.271042367542871,0.001,0.00225,"*"
"8","Q1 vs Q9",7.07839964005296,0.282250850997206,0.001,0.00225,"*"
"9","Q1 vs Q10",28.7741671335083,0.61517219646857,0.001,0.00225,"*"
"10","Q2 vs Q3",0.390067530114322,0.0212107720363492,0.884,0.884,""
"11","Q2 vs Q4",1.51038903315466,0.0774146036036497,0.191,0.260454545454545,""
"12","Q2 vs Q5",2.5351238469911,0.123453058568359,0.019,0.0316666666666667,"."
"13","Q2 vs Q6",4.295564559413,0.192664534148316,0.001,0.00225,"*"
"14","Q2 vs Q7",5.71432246650695,0.240965031768359,0.001,0.00225,"*"
"15","Q2 vs Q8",6.46905912454908,0.26437710954153,0.002,0.00409090909090909,"*"
"16","Q2 vs Q9",7.80446378876817,0.302446268701975,0.001,0.00225,"*"
"17","Q2 vs Q10",35.8563611448957,0.665777642281241,0.001,0.00225,"*"
"18","Q3 vs Q4",0.915193520453475,0.048384042143891,0.497,0.5325,""
"19","Q3 vs Q5",1.3982270716906,0.0720801476610792,0.244,0.313714285714286,""
"20","Q3 vs Q6",3.52336843584235,0.163699675835822,0.01,0.018,"."
"21","Q3 vs Q7",4.50014239146196,0.200005062775497,0.001,0.00225,"*"
"22","Q3 vs Q8",5.96774460013689,0.248990662229553,0.001,0.00225,"*"
"23","Q3 vs Q9",7.099240368723,0.282846821833285,0.001,0.00225,"*"
"24","Q3 vs Q10",38.2530868005175,0.680017559501563,0.001,0.00225,"*"
"25","Q4 vs Q5",0.38651033820503,0.0210214081462705,0.83,0.848863636363636,""
"26","Q4 vs Q6",0.819787645889383,0.0435598775774944,0.524,0.548372093023256,""
"27","Q4 vs Q7",1.63683607095172,0.0833553870408407,0.147,0.20671875,""
"28","Q4 vs Q8",2.45116180781143,0.119854403913385,0.031,0.0498214285714286,"."
"29","Q4 vs Q9",4.97520277561431,0.216546631784027,0.001,0.00225,"*"
"30","Q4 vs Q10",36.2674936092807,0.668309722767044,0.001,0.00225,"*"
"31","Q5 vs Q6",1.36743523311769,0.070604869290045,0.257,0.32125,""
"32","Q5 vs Q7",1.04604777534783,0.054922038823287,0.426,0.47925,""
"33","Q5 vs Q8",2.20228445595476,0.109011654635207,0.051,0.0765,""
"34","Q5 vs Q9",4.02816039810091,0.182864130517598,0.004,0.00782608695652174,"*"
"35","Q5 vs Q10",34.384674777315,0.656388054779051,0.001,0.00225,"*"
"36","Q6 vs Q7",1.46019561860395,0.0750349917966912,0.229,0.303088235294118,""
"37","Q6 vs Q8",1.11217506849392,0.0581919673981704,0.33,0.380769230769231,""
"38","Q6 vs Q9",3.59815028897519,0.166595298246993,0.005,0.009375,"*"
"39","Q6 vs Q10",33.5198492172947,0.650620095488215,0.001,0.00225,"*"
"40","Q7 vs Q8",0.985508737965201,0.0519084714329769,0.455,0.499390243902439,""
"41","Q7 vs Q9",2.5601039633324,0.124518045623611,0.044,0.0682758620689655,""
"42","Q7 vs Q10",37.5247010762616,0.675819956684188,0.001,0.00225,"*"
"43","Q8 vs Q9",1.27335269861196,0.0660680431953942,0.286,0.347837837837838,""
"44","Q8 vs Q10",28.1738478903656,0.610168941459267,0.001,0.00225,"*"
"45","Q9 vs Q10",22.1653191755626,0.55185218567984,0.001,0.00225,"*"
