"","pairs","F.Model","R2","p.value","p.adjusted","sig"
"1","Q1 vs Q2",2.30821805774048,0.113659310293879,0.001,0.00145161290322581,"*"
"2","Q1 vs Q3",2.8380783422952,0.136196740202033,0.001,0.00145161290322581,"*"
"3","Q1 vs Q4",3.15611969436108,0.149182351960426,0.001,0.00145161290322581,"*"
"4","Q1 vs Q5",3.28128668935507,0.15418648022802,0.001,0.00145161290322581,"*"
"5","Q1 vs Q6",3.5851099923221,0.166091810215344,0.001,0.00145161290322581,"*"
"6","Q1 vs Q7",3.90579994027148,0.178299808768502,0.001,0.00145161290322581,"*"
"7","Q1 vs Q8",4.37691547034002,0.19559958905603,0.001,0.00145161290322581,"*"
"8","Q1 vs Q9",5.21962483041591,0.224793676406804,0.001,0.00145161290322581,"*"
"9","Q1 vs Q10",14.9822850363087,0.454252487958775,0.001,0.00145161290322581,"*"
"10","Q2 vs Q3",1.43895239292344,0.0740241739285947,0.003,0.00329268292682927,"*"
"11","Q2 vs Q4",1.70449938093555,0.086503054352382,0.001,0.00145161290322581,"*"
"12","Q2 vs Q5",1.85231780499186,0.0933048636026822,0.001,0.00145161290322581,"*"
"13","Q2 vs Q6",2.07446535887684,0.103338510978551,0.001,0.00145161290322581,"*"
"14","Q2 vs Q7",2.30546472227344,0.113539126230612,0.002,0.00236842105263158,"*"
"15","Q2 vs Q8",2.63854269678421,0.127845397591727,0.001,0.00145161290322581,"*"
"16","Q2 vs Q9",3.33670495071611,0.156383329029637,0.001,0.00145161290322581,"*"
"17","Q2 vs Q10",10.4462621561436,0.367227936619698,0.001,0.00145161290322581,"*"
"18","Q3 vs Q4",1.36539466609449,0.0705069372267979,0.002,0.00236842105263158,"*"
"19","Q3 vs Q5",1.51681660658125,0.07771844338947,0.001,0.00145161290322581,"*"
"20","Q3 vs Q6",1.71558140670293,0.0870165262344059,0.001,0.00145161290322581,"*"
"21","Q3 vs Q7",1.95965745831611,0.0981809163012277,0.001,0.00145161290322581,"*"
"22","Q3 vs Q8",2.28544145842917,0.112664122351624,0.001,0.00145161290322581,"*"
"23","Q3 vs Q9",2.91984985090981,0.139573174364003,0.001,0.00145161290322581,"*"
"24","Q3 vs Q10",9.68194349831805,0.349756638254331,0.001,0.00145161290322581,"*"
"25","Q4 vs Q5",1.23401924329977,0.0641581578811014,0.026,0.026,"."
"26","Q4 vs Q6",1.44488023507701,0.0743064610123214,0.003,0.00329268292682927,"*"
"27","Q4 vs Q7",1.66893690882619,0.0848514038436554,0.002,0.00236842105263158,"*"
"28","Q4 vs Q8",1.96784156371838,0.0985505397485702,0.001,0.00145161290322581,"*"
"29","Q4 vs Q9",2.57544768511865,0.125170918491429,0.002,0.00236842105263158,"*"
"30","Q4 vs Q10",9.089271960692,0.335530315243652,0.001,0.00145161290322581,"*"
"31","Q5 vs Q6",1.22025148070916,0.0634877999350787,0.019,0.0194318181818182,"."
"32","Q5 vs Q7",1.43991279790668,0.0740699206254532,0.002,0.00236842105263158,"*"
"33","Q5 vs Q8",1.70354735887448,0.0864589166532596,0.002,0.00236842105263158,"*"
"34","Q5 vs Q9",2.23249360518381,0.110341989907355,0.001,0.00145161290322581,"*"
"35","Q5 vs Q10",8.66791810736956,0.325031675606286,0.001,0.00145161290322581,"*"
"36","Q6 vs Q7",1.26421364152468,0.0656249803417682,0.006,0.00627906976744186,"*"
"37","Q6 vs Q8",1.51091550945502,0.0774394983527464,0.001,0.00145161290322581,"*"
"38","Q6 vs Q9",1.95095541658047,0.0977875683567066,0.001,0.00145161290322581,"*"
"39","Q6 vs Q10",8.11357032947501,0.310703217794659,0.001,0.00145161290322581,"*"
"40","Q7 vs Q8",1.31589977395715,0.0681252123564716,0.002,0.00236842105263158,"*"
"41","Q7 vs Q9",1.69318581454988,0.0859782581901453,0.003,0.00329268292682927,"*"
"42","Q7 vs Q10",7.69248409759077,0.299406007934908,0.001,0.00145161290322581,"*"
"43","Q8 vs Q9",1.43297423507384,0.0737393163671014,0.004,0.00428571428571429,"*"
"44","Q8 vs Q10",7.16001718256431,0.284579184927033,0.001,0.00145161290322581,"*"
"45","Q9 vs Q10",6.15623009050943,0.254850614828682,0.001,0.00145161290322581,"*"
