"","pairs","F.Model","R2","p.value","p.adjusted","sig"
"1","Q1 vs Q2",1.19592826807086,0.0623011427928747,0.251,0.297236842105263,""
"2","Q1 vs Q3",3.2001509623356,0.150949442200719,0.001,0.00204545454545455,"*"
"3","Q1 vs Q4",3.25527975194078,0.1531515835092,0.003,0.00519230769230769,"*"
"4","Q1 vs Q5",4.48825180377419,0.199582068136614,0.001,0.00204545454545455,"*"
"5","Q1 vs Q6",4.85432443591295,0.21240288460616,0.001,0.00204545454545455,"*"
"6","Q1 vs Q7",6.88384780190337,0.27663920213243,0.001,0.00204545454545455,"*"
"7","Q1 vs Q8",10.4787362733444,0.367949482475889,0.001,0.00204545454545455,"*"
"8","Q1 vs Q9",13.4385312686,0.427454169337168,0.001,0.00204545454545455,"*"
"9","Q1 vs Q10",31.8529765390156,0.638938309211829,0.001,0.00204545454545455,"*"
"10","Q2 vs Q3",1.31947624211317,0.0682977232704133,0.189,0.23625,""
"11","Q2 vs Q4",1.35690220562589,0.0700991404105726,0.147,0.189,""
"12","Q2 vs Q5",2.29071994370786,0.112894956416675,0.007,0.01125,"."
"13","Q2 vs Q6",2.47599852730638,0.120921991863031,0.001,0.00204545454545455,"*"
"14","Q2 vs Q7",3.36197229501101,0.157381174761479,0.001,0.00204545454545455,"*"
"15","Q2 vs Q8",5.54166265758049,0.235398099878729,0.001,0.00204545454545455,"*"
"16","Q2 vs Q9",7.36692885694126,0.290414693023646,0.001,0.00204545454545455,"*"
"17","Q2 vs Q10",18.3691853055336,0.505075523447007,0.001,0.00204545454545455,"*"
"18","Q3 vs Q4",1.26657550453433,0.0657395240911519,0.201,0.244459459459459,""
"19","Q3 vs Q5",1.82183386276226,0.0919104597170898,0.015,0.0232758620689655,"."
"20","Q3 vs Q6",2.14525362015263,0.106489283312204,0.004,0.00666666666666667,"*"
"21","Q3 vs Q7",2.48586353734782,0.121345313699656,0.003,0.00519230769230769,"*"
"22","Q3 vs Q8",4.03864434844903,0.183252848251224,0.001,0.00204545454545455,"*"
"23","Q3 vs Q9",4.88646661176773,0.213509000522397,0.001,0.00204545454545455,"*"
"24","Q3 vs Q10",18.1897241081326,0.502621242808673,0.001,0.00204545454545455,"*"
"25","Q4 vs Q5",0.705168308089171,0.0376991159060684,0.852,0.891627906976744,""
"26","Q4 vs Q6",1.16001881147563,0.0605437198621565,0.279,0.321923076923077,""
"27","Q4 vs Q7",1.40587682490644,0.0724459315902733,0.09,0.1265625,""
"28","Q4 vs Q8",2.56922819626935,0.124906397641859,0.003,0.00519230769230769,"*"
"29","Q4 vs Q9",3.76852345930588,0.173118009880218,0.001,0.00204545454545455,"*"
"30","Q4 vs Q10",13.6594484879202,0.431449350519545,0.001,0.00204545454545455,"*"
"31","Q5 vs Q6",0.525273243846283,0.028354412749122,0.966,0.966,""
"32","Q5 vs Q7",1.13217293486564,0.0591763904037484,0.293,0.329625,""
"33","Q5 vs Q8",1.40754442576392,0.0725256320369608,0.1,0.136363636363636,""
"34","Q5 vs Q9",2.23537068823047,0.110468482276464,0.003,0.00519230769230769,"*"
"35","Q5 vs Q10",11.397582033823,0.387704744584424,0.001,0.00204545454545455,"*"
"36","Q6 vs Q7",0.62827547570941,0.0337269800700907,0.893,0.913295454545455,""
"37","Q6 vs Q8",1.13459207378327,0.0592953363943307,0.328,0.36,""
"38","Q6 vs Q9",1.73064493706875,0.0877135513100903,0.031,0.0465,"."
"39","Q6 vs Q10",9.6471063274093,0.348937288885281,0.001,0.00204545454545455,"*"
"40","Q7 vs Q8",1.43808933910881,0.0739830604757752,0.108,0.142941176470588,""
"41","Q7 vs Q9",1.69592183103434,0.0861052275482794,0.035,0.0508064516129032,""
"42","Q7 vs Q10",11.1718840983164,0.38296751970714,0.001,0.00204545454545455,"*"
"43","Q8 vs Q9",0.957444753691986,0.0505049475882304,0.514,0.550714285714286,""
"44","Q8 vs Q10",9.40882724496655,0.34327726468831,0.001,0.00204545454545455,"*"
"45","Q9 vs Q10",9.17987341856571,0.337745260148829,0.001,0.00204545454545455,"*"
