"","pairs","F.Model","R2","p.value","p.adjusted","sig"
"1","Q1 vs Q2",2.04971178834113,0.102231483922528,0.008,0.0116129032258065,"."
"2","Q1 vs Q3",3.11535942303443,0.147539966553254,0.002,0.00321428571428571,"*"
"3","Q1 vs Q4",3.64968575763122,0.168579156228388,0.001,0.00195652173913043,"*"
"4","Q1 vs Q5",3.9027136411762,0.178184023455398,0.001,0.00195652173913043,"*"
"5","Q1 vs Q6",4.36965968962583,0.195338675252727,0.001,0.00195652173913043,"*"
"6","Q1 vs Q7",4.7332655314312,0.208208782186921,0.002,0.00321428571428571,"*"
"7","Q1 vs Q8",5.90278160052162,0.246949568429844,0.001,0.00195652173913043,"*"
"8","Q1 vs Q9",7.72094270632395,0.300181171214445,0.001,0.00195652173913043,"*"
"9","Q1 vs Q10",19.9714770184846,0.525959972764885,0.001,0.00195652173913043,"*"
"10","Q2 vs Q3",1.22919346357395,0.0639232979741155,0.131,0.147375,""
"11","Q2 vs Q4",1.35310440185342,0.0699166590412148,0.049,0.0595945945945946,""
"12","Q2 vs Q5",1.61765851162867,0.0824593062760156,0.016,0.0205714285714286,"."
"13","Q2 vs Q6",2.01407828361992,0.100633077130926,0.002,0.00321428571428571,"*"
"14","Q2 vs Q7",2.29231151344949,0.112964533977816,0.002,0.00321428571428571,"*"
"15","Q2 vs Q8",3.01028622293361,0.143276783142904,0.001,0.00195652173913043,"*"
"16","Q2 vs Q9",4.31614411373409,0.193409044669047,0.001,0.00195652173913043,"*"
"17","Q2 vs Q10",11.9704174461153,0.399407764928109,0.001,0.00195652173913043,"*"
"18","Q3 vs Q4",1.10839994493087,0.0580059004482428,0.238,0.255,""
"19","Q3 vs Q5",1.487132777155,0.0763135754326253,0.011,0.01546875,"."
"20","Q3 vs Q6",1.46635734833107,0.0753277730441329,0.015,0.0198529411764706,"."
"21","Q3 vs Q7",2.07682957623256,0.103444100491402,0.001,0.00195652173913043,"*"
"22","Q3 vs Q8",2.72701949380703,0.131568337387912,0.001,0.00195652173913043,"*"
"23","Q3 vs Q9",3.09082800782197,0.146548443080361,0.001,0.00195652173913043,"*"
"24","Q3 vs Q10",10.7798081527454,0.374561501436453,0.001,0.00195652173913043,"*"
"25","Q4 vs Q5",1.0796094854441,0.0565844644916732,0.282,0.288409090909091,""
"26","Q4 vs Q6",1.43091161220632,0.0736409922891847,0.013,0.0177272727272727,"."
"27","Q4 vs Q7",1.59775172250745,0.0815272968619396,0.002,0.00321428571428571,"*"
"28","Q4 vs Q8",2.00938792996505,0.1004222586417,0.001,0.00195652173913043,"*"
"29","Q4 vs Q9",2.80333821178842,0.134754248729172,0.001,0.00195652173913043,"*"
"30","Q4 vs Q10",10.1134833225693,0.359737824250696,0.001,0.00195652173913043,"*"
"31","Q5 vs Q6",1.00549001608598,0.0529052402876719,0.489,0.489,""
"32","Q5 vs Q7",1.20581287423217,0.0627837458444661,0.087,0.103026315789474,""
"33","Q5 vs Q8",1.55618093626324,0.0795748894600172,0.006,0.00931034482758621,"*"
"34","Q5 vs Q9",2.06749240697165,0.103026943528499,0.001,0.00195652173913043,"*"
"35","Q5 vs Q10",8.41078667492948,0.318460285884382,0.001,0.00195652173913043,"*"
"36","Q6 vs Q7",1.20939639374181,0.062958583859294,0.116,0.133846153846154,""
"37","Q6 vs Q8",1.56233642484353,0.079864510604133,0.008,0.0116129032258065,"."
"38","Q6 vs Q9",1.67569948492679,0.0851659421923226,0.001,0.00195652173913043,"*"
"39","Q6 vs Q10",7.41775861323083,0.291833702810036,0.001,0.00195652173913043,"*"
"40","Q7 vs Q8",1.12378868674509,0.0587639146799398,0.258,0.27,""
"41","Q7 vs Q9",1.43439030943884,0.0738068077567729,0.026,0.0325,"."
"42","Q7 vs Q10",7.09805677035805,0.28281300163211,0.001,0.00195652173913043,"*"
"43","Q8 vs Q9",1.22467206215414,0.0637031444903054,0.139,0.152560975609756,""
"44","Q8 vs Q10",6.79537417805933,0.274058142025231,0.001,0.00195652173913043,"*"
"45","Q9 vs Q10",5.52251610409059,0.234775739111099,0.001,0.00195652173913043,"*"
