"","funct_category","funct_process","funct_trait","best_model","mod1_Intercept","mod1_Rank","mod2_Intercept","mod2_Rank","mod2_Ranksq","mod3_Intercept","mod3_Rank","mod1_pval_Intercept","mod1_pval_Rank","mod2_pval_Intercept","mod2_pval_Rank","mod2_pval_Ranksq","mod3_pval_Intercept","mod3_pval_Rank","mod1_aov_pval_Rank","mod2_aov_pval_Rank","mod2_aov_pval_Ranksq","mod3_aov_pval_Rank","mod1_aov_fval_Rank","mod2_aov_fval_Rank","mod2_aov_fval_Ranksq","mod3_aov_fval_Rank","mod1_df","mod1_AIC","mod1_r2m","mod1_r2c","mod2_df","mod2_AIC","mod2_r2m","mod2_r2c","mod3_df","mod3_AIC","mod3_r2m","mod3_r2c","n","Type","Shape"
"1","Carbon cycling","carbon_degradation","ferroxidase_high_affinity","mod3",1.44293210880047,-0.0113024914344948,0.0765942735176464,0.655838500058111,-0.0609242756065212,0.234215287585757,-0.012858051933466,3.74473176722934e-86,0.282637647734306,0.419792082655855,6.72167140659651e-55,4.50265880039686e-59,1.38018775219401e-07,0.0731634284056852,0.282637647734306,0.205500368135486,4.50265880039686e-59,0.0731634284056853,1.15592296283161,1.6054664637739,311.345693689803,3.21906951073845,2,-321.365727555677,0.00144642982629233,0.000195109562916684,3,-583.181037772293,0.281950387898397,0.280148506814077,2,-934.405035044643,0.00401771454678951,0.00276961644471785,19,"No relation","No relation"
"2","Carbon cycling","carbon_degradation","amyA_Proteobacteria","mod3",1.09417723517068,-0.010892850420155,1.37574156624287,-0.155058142696222,0.0131131674345024,-0.0325934590276948,-0.00980219008838868,4.86773536525489e-135,0.0630509518145388,3.70473883977154e-90,1.98228836069184e-09,1.00786506881239e-08,0.357458581304349,0.0814932942166657,0.0630509518145388,0.0584335536444942,1.00786506881239e-08,0.0814932942166657,3.46394054351914,3.59056218300415,33.4601460244614,3.04177229775657,2,-1175.034381412,0.00388567656635358,0.0027639262021264,3,-1205.98994347408,0.0400959686285389,0.0379315852432595,2,-1247.15564896779,0.00341372581210493,0.00229144397180325,31,"No relation","No relation"
"3","Carbon cycling","methane","mmoX","mod1",1.11700978721787,-0.0101859921836832,1.06438398878969,0.0163353388230933,-0.00240881640795297,-0.0730388857776757,0.0006544037968027,6.6268467463228e-147,0.0790619708201586,5.12127296956116e-58,0.53009313803736,0.295812120246186,0.045226062368413,0.911156492717138,0.0790619708201585,0.0790475948747274,0.295812120246186,0.911156492717138,3.09066430325245,3.09096812741907,1.09417507793041,0.0124566595633062,2,-1245.80728664721,0.00321578849742864,0.00217530393427356,3,-1244.90426475177,0.00435414887020924,0.00227338429104573,2,-1222.96155093537,1.30026070921208e-05,-0.00103082515636599,34,"No relation","No relation"
"4","Carbon cycling","carbon_degradation","AssA","mod3",1.70748101475375,-0.00320637804440957,1.50532933226145,0.10113221139554,-0.00942247037192325,0.448862576130176,-0.00741911892597694,8.97525220674733e-65,0.813005742711337,8.14170876282679e-22,0.117516810332078,0.0986538552084078,2.06217933619542e-24,0.25443036557359,0.813005742711337,0.8127099574507,0.0986538552084078,0.25443036557359,0.0560109494981463,0.0561917524996927,2.73666070122968,1.3015911930068,2,-49.0699782288367,0.000104098733883312,-0.00175444383352574,3,-49.8149390251609,0.00517393374334976,0.0014688087293584,2,-841.767788150416,0.0024134755288363,0.000559225483350967,10,"No relation","No relation"
"5","Carbon cycling","carbon_degradation","cellobiase_bact_arch","mod1",0.983996202978795,0.00429938598129519,0.966009829046535,0.0131236485416641,-0.000793561151189643,-0.158251753335069,0.00942784675973622,1.32178420645561e-119,0.452543585097867,1.4869208376687e-49,0.599078159778746,0.716459778135685,1.41165539094262e-05,0.104181638569788,0.452543585097867,0.452775185922046,0.716459778135685,0.104181638569788,0.564794054045815,0.564215938207019,0.131998242921409,2.64601046546225,2,-1249.34026065553,0.000665587422437726,-0.000512872969752776,3,-1247.4727161039,0.00082130151047211,-0.00153803425927879,2,-1227.20295737904,0.00311058940253466,0.00193501226739612,27,"No relation","No relation"
"6","Metal resistance","mercury","metC","mod3",1.70365465797383,-0.0187039712714341,2.08074687335514,-0.20975082736698,0.0169656777337727,0.390797269363656,-0.00631364859620592,3.66393595822941e-69,0.11723654370269,1.22840634736239e-47,6.74731635411161e-05,0.000192243998635304,1.28703262597141e-17,0.315008341409786,0.11723654370269,0.113106689150637,0.000192243998635304,0.315008341409786,2.46133394481666,2.5180567471915,14.0898742191226,1.0113479746256,2,-184.190134754516,0.00431463764212769,0.00256167045487787,3,-196.181428858152,0.0284573428240007,0.0250303845976302,2,-915.28631759391,0.00177737751316464,1.99433186455211e-05,12,"No relation","No relation"
"7","Metal resistance","mercury","merP","mod3",1.16017494501395,-0.00244252941084366,1.07782453771299,0.0380425151244502,-0.00365308359242783,0.0112868875377422,0.00475898502120221,6.96435489954218e-158,0.666799682091403,6.6880467854506e-60,0.133283533857845,0.101200020085373,0.730365869533144,0.362900418991051,0.666799682091403,0.666523492051405,0.101200020085373,0.362900418991051,0.185483198543572,0.185810739297774,2.69171140561074,0.82862146651969,2,-1321.17818006971,0.000193577550271794,-0.000850061721596296,3,-1321.87453925232,0.00299780136373905,0.000914202202534797,2,-1477.46483145434,0.000864201847930158,-0.000178737398575102,49,"No relation","No relation"
"8","Metal resistance","nickel","nreB","mod3",1.34744600915017,-0.00211341949965484,0.839774974879327,0.24776915892983,-0.0229909498025573,0.202210294094726,-0.00427933800989287,1.48985396435899e-103,0.809607120986008,5.63837396813594e-20,3.59399980544247e-11,7.17068860177668e-12,1.01778307771185e-07,0.491802297035923,0.809607120986008,0.803850428934309,7.17068860177671e-12,0.491802297035923,0.0580891920609572,0.0617294629198957,48.5015267587104,0.473040097728973,2,-630.065984899821,7.66289455770716e-05,-0.00124253117454742,3,-675.263386792155,0.060284845226691,0.0578021103395752,2,-1151.59195660909,0.000623674241167523,-0.000694764183316376,16,"No relation","No relation"
"9","Metal resistance","silver","SilA","mod3",1.19016899625125,0.00377704126314552,0.449713132742805,0.369858865366296,-0.0329726481553527,0.0415889547361999,0.00380743517893839,2.44239518085837e-120,0.590473453619358,1.83617908223333e-10,1.44451116061793e-34,1.67195147292149e-35,0.257515398838682,0.518767108119345,0.590473453619358,0.558416436736131,1.67195147292149e-35,0.518767108119345,0.289809000389408,0.34270427586181,168.551258996159,0.416665090037656,2,-891.720997870787,0.000315596446294964,-0.000773384385462927,3,-1044.95787637109,0.155534489539945,0.153692689080927,2,-1210.98956015277,0.000453677623540075,-0.000635152792991978,29,"No relation","No relation"
"10","Metal resistance","lead","pbrT","mod3",1.68464107746514,0.00580174733237963,0.979583351901512,0.363364238535386,-0.0326562795804448,0.436094550212565,0.00219186847844395,8.37887199801369e-80,0.636976467880203,1.08258149276951e-14,6.161037437731e-12,3.74345661679737e-12,2.38862669191082e-32,0.695180379221986,0.636976467880203,0.62365665348482,3.74345661679737e-12,0.695180379221986,0.222942393654248,0.241007737429384,50.2671171025321,0.153680135709456,2,-155.941213780971,0.000366547162421821,-0.00127758680606105,3,-202.473860376188,0.0768174915743516,0.0737757040671831,2,-1116.55062554069,0.000252699507919048,-0.00139162170999563,10,"No relation","No relation"
